model,mae,rmse,r2,features,notes
TabPFN + Advanced Programmer V2 (Current Record),55.63,N/A,N/A,Various,Previous result for comparison
TabPFN Ultra Features (100+),55.96,N/A,N/A,Various,Previous result for comparison
TabPFN V1 Features,55.96,N/A,N/A,Various,Previous result for comparison
TabPFN MEGA Features (176 features),57.10964996643067,72.45640540124326,0.9785716417711245,176,8 comprehensive categories
V1 Neural Networks,57.35,N/A,N/A,Various,Previous result for comparison
V4 Neural Networks,59.76,N/A,N/A,Various,Previous result for comparison
