model,mae,rmse,r2,features,pricing_features,notes
TabPFN Business Rules (Original - 31 features),55.21,N/A,N/A,Various,1,Previous result for comparison
TabPFN + Advanced Programmer V2,55.63,N/A,N/A,Various,N/A,Previous result for comparison
TabPFN Enhanced Business Rules (45 features),55.67017649841309,70.01252019501567,0.9799927798630609,45,12,Enhanced with 12 pricing psychology features - addressing .49/.99 pattern underrepresentation
TabPFN Ultra Features (100+),55.96,N/A,N/A,Various,N/A,Previous result for comparison
TabPFN V1 Features,55.96,N/A,N/A,Various,N/A,Previous result for comparison
V1 Neural Networks,57.35,N/A,N/A,Various,N/A,Previous result for comparison
