feature,importance,feature_type
fourier_receipts_sin_3,0.0005882072717130623,Engineering
eng_complex_30,0.0005857685495426264,Engineering
poly_0_0_4,0.0005854728188580047,Engineering
hash_41_29_11,0.0005843309568727486,Engineering
miles_mod_11,0.0005841760442815594,Engineering
eng_complex_98,0.0005655826482475544,Engineering
tan_miles,0.0005542001570312243,Engineering
cos_duration_freq_2,0.0005351873012378506,Interview
cos_receipts_freq_2,0.0005181194159658587,Engineering
fourier_receipts_sin_1,0.0005181038574358313,Engineering
hash_mod_37_23_19,0.0005131382341014351,Engineering
hash_cos_43,0.0005056947711289115,Engineering
hash_31_17_13,0.0005030983839690849,Engineering
miles_mod_19,0.0005028067322143252,Engineering
harmonic_mean,0.0005013485662022646,Engineering
eng_complex_115,0.0004999555159925052,Engineering
hash_53_41_2,0.0004967753620039127,Engineering
eng_complex_4,0.0004963677316165737,Engineering
exp_miles,0.0004885322289785618,Engineering
sin_duration,0.0004883458877479598,Interview
eng_complex_69,0.00048710692911630175,Engineering
interview_interaction_248,0.0004851412366331531,Interview
interview_interaction_101,0.0004831792760172143,Interview
hash_43_31_7,0.0004789573921415541,Engineering
interview_interaction_61,0.0004767229138438877,Interview
trip_type_hash,0.0004742837485751407,Engineering
low_spending_150,0.0004605458738963541,Interview
eng_complex_96,0.00045661329167309624,Engineering
interview_interaction_146,0.00043910466741064216,Interview
miles_bin_10_3,0.0004390895421467557,Engineering
receipts_mod_5,0.00043479724227138286,Engineering
eng_complex_171,0.0004287454557901515,Engineering
receipts_power_3,0.00042866335569197075,Engineering
interview_interaction_148,0.00042271697908819855,Interview
hash_sin_31,0.0004122207875088786,Engineering
interview_interaction_50,0.00041160381574123505,Interview
sin_receipts_freq_2,0.0004090576711192744,Engineering
eng_complex_67,0.0004005643038676524,Engineering
eng_complex_169,0.00039382997177963495,Engineering
eng_complex_93,0.00038712973343393105,Engineering
interview_interaction_205,0.0003821113901990972,Interview
eng_complex_129,0.00037348494576536055,Engineering
interaction_miles_sq_receipts,0.0003635294678780105,Engineering
duration_bin_10_5,0.0003627678298329646,Interview
cos_miles_freq_4,0.0003607283469563558,Engineering
cos_receipts_freq_5,0.0003606177476877228,Engineering
eng_complex_31,0.0003541911006156606,Engineering
fourier_duration_cos_2,0.0003511034427629262,Interview
hash_cos_47,0.00035052994136156105,Engineering
interview_interaction_34,0.0003504357204728859,Interview
duration_mod_7,0.00034928943994743295,Interview
interview_interaction_136,0.0003490404402229526,Interview
interview_interaction_240,0.00034793742927653,Interview
sin_receipts_freq_3,0.00034524439383015564,Engineering
bit_pattern_receipts,0.0003420128585714305,Engineering
vacation_penalty_8d_150s,0.0003413200570868923,Interview
cos_miles_freq_3,0.00034003980807396027,Engineering
hash_mod_43_31_7,0.00033569432257678173,Engineering
hash_cos_53,0.0003247841591692259,Engineering
duration_mod_5,0.00030669066813293774,Interview
receipts_bin_8_2,0.0003024046104630297,Engineering
cos_miles,0.0003002463502974153,Engineering
duration_efficiency,0.0002996974772224725,Interview
interview_interaction_235,0.00029676602988565814,Interview
bit_pattern_miles,0.00029420191187810196,Engineering
fourier_miles_cos_3,0.0002941175818530129,Engineering
eng_complex_60,0.0002926864406069442,Engineering
interview_interaction_190,0.0002922042514310851,Interview
hash_mod_41_29_11,0.00029166892920224783,Engineering
duration_bin_10_2,0.00027980335847258545,Interview
eng_complex_72,0.00027414605535315003,Engineering
miles_receipts_ratio,0.0002717019447920511,Engineering
balanced_daily_ratio,0.0002709478966799152,Engineering
interview_interaction_226,0.00027086190326820297,Interview
eng_complex_148,0.0002696628126639966,Engineering
eng_complex_99,0.0002659335824082905,Engineering
exact_duration_4,0.00026335765754431254,Interview
interview_interaction_191,0.0002628266213148516,Interview
eng_complex_162,0.0002606773291698859,Engineering
cos_receipts_freq_4,0.00026048210788304134,Engineering
fourier_duration_sin_3,0.0002571312229198708,Interview
vacation_penalty_7d_180s,0.00025507298381522716,Interview
receipts_mod_13,0.0002518348746743663,Engineering
interview_interaction_51,0.00024403115458993056,Interview
receipts_mod_17,0.00024190856920250638,Engineering
cosh_receipts,0.00023255941459712803,Engineering
eng_complex_18,0.00022963018424658352,Engineering
receipts_mod_19,0.00022906201331208002,Engineering
duration_bin_8_4,0.00022820058736125424,Interview
high_efficiency_100,0.00022777045936986747,Interview
miles_mod_3,0.00022436621626508466,Engineering
receipts_mod_11,0.0002239331448367052,Engineering
duration_quartile_2,0.00022171955021311774,Interview
eng_complex_54,0.00022142057268121886,Engineering
fourier_miles_sin_1,0.00022062379042511276,Engineering
poly_0_4_0,0.00022033555072264327,Engineering
spending_efficiency_2,0.00021510918968193919,Interview
eng_complex_177,0.00021048877428271788,Engineering
interview_interaction_225,0.0002095187538336627,Interview
eng_complex_153,0.00020355591567343674,Engineering
tanh_receipts,0.00020139948681357903,Engineering
log_receipts,0.00020105681581986638,Engineering
tan_duration,0.000199773614569678,Interview
eng_complex_112,0.0001895032822950066,Engineering
interview_interaction_164,0.00018931446866377022,Interview
spending_range_7,0.0001891404142427819,Interview
fourier_receipts_cos_5,0.00018828241816471123,Engineering
interview_interaction_38,0.0001862657692352159,Interview
eng_complex_186,0.00018591897605128562,Engineering
eng_complex_143,0.0001850107867372083,Engineering
vacation_penalty_8d_180s,0.00018228666336977543,Interview
interview_interaction_21,0.0001820130859224167,Interview
cos_duration,0.00018042694569167004,Interview
eng_complex_164,0.0001739481057809491,Engineering
eng_complex_174,0.00017267481223292376,Engineering
eng_complex_120,0.00016851161071876632,Engineering
interview_interaction_135,0.0001681255948410739,Interview
poly_2_2_0,0.00015762355505104646,Engineering
eng_complex_141,0.0001541623475401592,Engineering
cos_miles_freq_2,0.0001531293238475526,Engineering
efficiency_score_3,0.00015310801713853595,Interview
efficiency_score_1,0.00015108691268434104,Interview
eng_complex_165,0.00014891204114875502,Engineering
cos_receipts_freq_3,0.00014812552205121588,Engineering
interview_interaction_181,0.0001476584853119685,Interview
interview_interaction_43,0.00014557525886486702,Interview
xor_duration_miles,0.00014255586748579266,Interview
eng_complex_74,0.00013422207964848963,Engineering
interview_interaction_242,0.0001340507921533971,Interview
eng_complex_48,0.0001330228902679032,Engineering
interview_interaction_121,0.00013189147047387197,Interview
fourier_miles_cos_1,0.00013023015812235763,Engineering
eng_complex_125,0.00012550437691049158,Engineering
sin_miles,0.00012105057232363514,Engineering
eng_complex_34,0.00011976845286354453,Engineering
duration_bin_8_3,0.00011932861078121875,Interview
eng_complex_5,0.00011900844503404187,Engineering
eng_complex_81,0.00011852626706880939,Engineering
hash_mod_53_41_2,0.00011846316961599532,Engineering
low_efficiency_100,0.00011785494540951162,Interview
cos_duration_freq_4,0.0001169608779598154,Interview
eng_complex_28,0.00011385333911965562,Engineering
eng_complex_168,0.00011275397547947066,Engineering
eng_complex_102,0.00011231427879774771,Engineering
interview_interaction_141,0.00011155934200978502,Interview
receipts_mod_7,0.00011043544478172989,Engineering
weekend_trip,0.00010868352779632619,Engineering
eng_complex_84,0.00010730532163621391,Engineering
interview_interaction_96,0.00010650622995450532,Interview
eng_complex_103,0.000106159457636789,Engineering
eng_complex_15,0.00010593165936505472,Engineering
interview_interaction_128,0.00010573878697013143,Interview
eng_complex_139,0.00010540779691533845,Engineering
eng_complex_24,0.0001045654483149383,Engineering
eng_complex_94,0.00010330072124106574,Engineering
pseudo_season_1,0.00010158465489826421,Engineering
eng_complex_44,9.923005261087633e-05,Engineering
miles_mod_5,9.85435917827279e-05,Engineering
interview_interaction_25,9.749738155531881e-05,Interview
interview_interaction_260,9.737547717895334e-05,Interview
eng_complex_26,9.712410049814854e-05,Engineering
duration_mod_13,9.442974760499512e-05,Interview
spending_range_6,9.31930279030453e-05,Interview
interview_interaction_165,9.147177409166995e-05,Interview
receipts_bin_3_1,9.02707870007326e-05,Engineering
eng_complex_76,9.01770846098291e-05,Engineering
eng_complex_104,8.945093266741933e-05,Engineering
eng_complex_116,8.631762538926897e-05,Engineering
eng_complex_80,8.551786994152794e-05,Engineering
receipts_mod_3,8.449864984964049e-05,Engineering
receipts_power_0.25,8.415951448749108e-05,Engineering
interview_interaction_261,8.387947537306536e-05,Interview
miles_power_2,8.22560055151035e-05,Engineering
eng_complex_126,8.221084798804847e-05,Engineering
eng_complex_161,8.152194878137201e-05,Engineering
sin_duration_freq_3,7.974558344215662e-05,Interview
duration_range_1,7.81818932830796e-05,Interview
receipts_bin_10_4,7.681895434557141e-05,Engineering
receipts_quartile_2,7.479655762453228e-05,Engineering
eng_complex_121,7.166526531867465e-05,Engineering
interview_interaction_66,7.140442743977815e-05,Interview
sin_duration_freq_4,7.119009433422842e-05,Interview
interview_interaction_198,7.112279900809043e-05,Interview
interview_interaction_184,7.053559889268265e-05,Interview
eng_complex_12,6.772089404538328e-05,Engineering
interview_interaction_202,6.633968387721213e-05,Interview
miles_mod_17,6.550080770454847e-05,Engineering
interview_interaction_149,6.412337498614978e-05,Interview
pseudo_season_8,6.408394430437351e-05,Engineering
interview_interaction_196,6.248099657738944e-05,Interview
duration_mod_11,6.233490826863792e-05,Interview
eng_complex_117,6.178282937485995e-05,Engineering
eng_complex_114,6.169792821943414e-05,Engineering
sin_duration_freq_5,6.0732088753015713e-05,Interview
eng_complex_25,6.046081680279483e-05,Engineering
eng_complex_59,6.010848201806971e-05,Engineering
interview_interaction_130,5.850767507940691e-05,Interview
eng_complex_130,5.846320184930456e-05,Engineering
vacation_penalty_8d_200s,5.8028863623897894e-05,Interview
duration_mod_3,5.737596804835796e-05,Interview
interview_transform_2_sq,5.642631214002422e-05,Interview
eng_complex_43,5.5695483816061996e-05,Engineering
eng_complex_22,5.435068656013222e-05,Engineering
eng_complex_8,5.420099606400522e-05,Engineering
low_spending_75,5.230543348365243e-05,Interview
interview_interaction_20,5.2076596684953184e-05,Interview
eng_complex_178,5.117632709083594e-05,Engineering
interview_interaction_220,5.116285353912687e-05,Interview
mileage_range_3,5.070414808813833e-05,Engineering
interview_interaction_193,5.0271775515471394e-05,Interview
interview_interaction_166,5.02045766152278e-05,Interview
mileage_range_2,5.00483920072867e-05,Engineering
interview_interaction_163,4.99522877058466e-05,Interview
interview_interaction_71,4.994901167841072e-05,Interview
interview_interaction_213,4.985958617954572e-05,Interview
interview_interaction_31,4.860191738276566e-05,Interview
low_spending_300,4.852065392176682e-05,Interview
eng_complex_66,4.824540559263349e-05,Engineering
interview_interaction_116,4.807716321647202e-05,Interview
receipts_power_2,4.769658399735285e-05,Engineering
interview_transform_0_cube,4.7496055329622754e-05,Interview
mileage_range_1,4.6792553439467156e-05,Engineering
eng_complex_118,4.6099999984907854e-05,Engineering
pseudo_season_3,4.5634617818058605e-05,Engineering
duration_bin_5_1,4.534636924200475e-05,Interview
vacation_penalty_7d_150s,4.4459756755734183e-05,Interview
eng_complex_149,4.3973992083050064e-05,Engineering
receipts_bin_8_5,4.337871444904606e-05,Engineering
interview_interaction_218,4.2989610638923e-05,Interview
eng_complex_33,4.2859608932546345e-05,Engineering
interview_interaction_222,4.2748442514548826e-05,Interview
eng_complex_181,4.270388437765094e-05,Engineering
eng_complex_111,4.113800118968599e-05,Engineering
miles_bin_8_1,4.064132039991316e-05,Engineering
interview_interaction_217,3.967600888996138e-05,Interview
eng_complex_158,3.9481792592840864e-05,Engineering
sqrt_receipts,3.840758200335552e-05,Engineering
eng_complex_128,3.6346693782063836e-05,Engineering
miles_power_3,3.606197110914579e-05,Engineering
fourier_duration_cos_4,3.528914760675578e-05,Interview
eng_complex_92,3.506472047998396e-05,Engineering
eng_complex_172,3.483981748311237e-05,Engineering
interview_interaction_33,3.46661857291225e-05,Interview
eng_complex_146,3.41737671769247e-05,Engineering
eng_complex_180,3.393197462444119e-05,Engineering
eng_complex_45,3.3393201681611716e-05,Engineering
eng_complex_85,3.310162590402575e-05,Engineering
fourier_duration_sin_5,3.235017338135508e-05,Interview
miles_quartile_2,3.209965368302679e-05,Engineering
receipts_bin_5_2,3.121179003308531e-05,Engineering
interview_interaction_88,3.109157088952652e-05,Interview
interview_interaction_22,3.0506927045607054e-05,Interview
miles_power_4,3.0425857743745745e-05,Engineering
interview_interaction_120,3.0302110625931415e-05,Interview
interview_interaction_52,2.9900434801988974e-05,Interview
eng_complex_51,2.9793284880594505e-05,Engineering
interview_interaction_158,2.9707004870903592e-05,Interview
eng_complex_62,2.9167264264524157e-05,Engineering
eng_complex_7,2.9065582095136117e-05,Engineering
miles_bin_8_4,2.860644408767233e-05,Engineering
receipts_quartile_1,2.8162356015710272e-05,Engineering
interview_interaction_8,2.7730751145594438e-05,Interview
pseudo_season_10,2.7242363492163985e-05,Engineering
exact_duration_11,2.7191900469029265e-05,Interview
exact_duration_8,2.5483945217308066e-05,Interview
eng_complex_61,2.545503269535719e-05,Engineering
interview_interaction_133,2.508737830973988e-05,Interview
interview_interaction_154,2.5020103275406447e-05,Interview
miles_bin_5_3,2.4530038853050667e-05,Engineering
eng_complex_57,2.3679626015506528e-05,Engineering
eng_complex_166,2.3576695551633314e-05,Engineering
high_efficiency_220,2.329386914142096e-05,Interview
interview_interaction_70,2.3175930472638315e-05,Interview
interview_interaction_144,2.2797036632464422e-05,Interview
interview_interaction_67,2.248160083992798e-05,Interview
eng_complex_46,2.13044351057174e-05,Engineering
eng_complex_14,2.1199879060072176e-05,Engineering
mileage_range_6,2.0941149375172975e-05,Engineering
interview_interaction_5,2.081113226145396e-05,Interview
interview_interaction_72,2.0219020222610235e-05,Interview
interview_interaction_90,2.017535971470387e-05,Interview
eng_complex_142,2.013201591867622e-05,Engineering
eng_complex_138,2.0076213274634714e-05,Engineering
receipts_bin_10_1,1.968854715265231e-05,Engineering
eng_complex_75,1.914943535860754e-05,Engineering
interview_interaction_227,1.887935427288255e-05,Interview
eng_complex_144,1.860186675016615e-05,Engineering
interview_interaction_143,1.8515778927973623e-05,Interview
eng_complex_184,1.818956367535239e-05,Engineering
interview_interaction_75,1.779751916424459e-05,Interview
duration_bin_10_6,1.726783696867886e-05,Interview
interview_interaction_53,1.67514039206499e-05,Interview
fourier_duration_cos_3,1.668012151956154e-05,Interview
eng_complex_49,1.6376085602970378e-05,Engineering
interview_interaction_182,1.5862953854470878e-05,Interview
