model,mae,rmse,r2,features,notes
TabPFN Business Rules (Current Record),55.21,N/A,N/A,Various,Previous result for comparison
TabPFN + Advanced Programmer V2,55.63,N/A,N/A,Various,Previous result for comparison
TabPFN Ultra Features (100+),55.96,N/A,N/A,Various,Previous result for comparison
TabPFN V1 Features,55.96,N/A,N/A,Various,Previous result for comparison
TabPFN Hybrid Champion (49 features),55.992722213745125,70.99952886237008,0.9794246959141217,49,Hybrid: Business Rules (31) + Best Mathematical/Programming (18) features
TabPFN MEGA Features (176),57.11,N/A,N/A,Various,Previous result for comparison
V1 Neural Networks,57.35,N/A,N/A,Various,Previous result for comparison
V4 Neural Networks,59.76,N/A,N/A,Various,Previous result for comparison
