model,mae,rmse,r2,features,notes
TabPFN + Advanced Programmer V2,55.62597285156251,70.57494280731115,0.979670045881522,79,58 V1 + 21 advanced programmer features
TabPFN V1 Features (Current Champion),55.96,N/A,N/A,Various,Previous result for comparison
V1 Neural Networks,57.35,N/A,N/A,Various,Previous result for comparison
V4 Neural Networks,59.76,N/A,N/A,Various,Previous result for comparison
XGBoost V1 Features,63.5,N/A,N/A,Various,Previous result for comparison
TabPFN + V2 Programmer Features,63.72,N/A,N/A,Various,Previous result for comparison
